CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031405256532001ME0F;17/09/2020;24;0,701;R
ES0031405256532001ME0F;18/09/2020;1;0,108;R
ES0031405256532001ME0F;18/09/2020;2;0,046;R
ES0031405256532001ME0F;18/09/2020;3;0,093;R
ES0031405256532001ME0F;18/09/2020;4;0,053;R
ES0031405256532001ME0F;18/09/2020;5;0,082;R
ES0031405256532001ME0F;18/09/2020;6;0,056;R
ES0031405256532001ME0F;18/09/2020;7;0,096;R
ES0031405256532001ME0F;18/09/2020;8;0,066;R
ES0031405256532001ME0F;18/09/2020;9;0,083;R
ES0031405256532001ME0F;18/09/2020;10;0,092;R
ES0031405256532001ME0F;18/09/2020;11;0,173;R
ES0031405256532001ME0F;18/09/2020;12;0,305;R
ES0031405256532001ME0F;18/09/2020;13;0,091;R
ES0031405256532001ME0F;18/09/2020;14;0,297;R
ES0031405256532001ME0F;18/09/2020;15;0,108;R
ES0031405256532001ME0F;18/09/2020;16;0,085;R
ES0031405256532001ME0F;18/09/2020;17;0,077;R
ES0031405256532001ME0F;18/09/2020;18;0,07;R
ES0031405256532001ME0F;18/09/2020;19;0,079;R
ES0031405256532001ME0F;18/09/2020;20;0,148;R
ES0031405256532001ME0F;18/09/2020;21;0,244;R
ES0031405256532001ME0F;18/09/2020;22;0,164;R
ES0031405256532001ME0F;18/09/2020;23;0,148;R
ES0031405256532001ME0F;18/09/2020;24;0,131;R
ES0031405256532001ME0F;19/09/2020;1;0,144;R
ES0031405256532001ME0F;19/09/2020;2;0,211;R
ES0031405256532001ME0F;19/09/2020;3;0,081;R
ES0031405256532001ME0F;19/09/2020;4;0,069;R
ES0031405256532001ME0F;19/09/2020;5;0,034;R
ES0031405256532001ME0F;19/09/2020;6;0,035;R
ES0031405256532001ME0F;19/09/2020;7;0,053;R
ES0031405256532001ME0F;19/09/2020;8;0,024;R
ES0031405256532001ME0F;19/09/2020;9;0,069;R
ES0031405256532001ME0F;19/09/2020;10;0,077;R
ES0031405256532001ME0F;19/09/2020;11;0,202;R
ES0031405256532001ME0F;19/09/2020;12;0,106;R
ES0031405256532001ME0F;19/09/2020;13;0,165;R
ES0031405256532001ME0F;19/09/2020;14;0,13;R
ES0031405256532001ME0F;19/09/2020;15;0,32;R
ES0031405256532001ME0F;19/09/2020;16;0,18;R
ES0031405256532001ME0F;19/09/2020;17;0,144;R
ES0031405256532001ME0F;19/09/2020;18;0,138;R
ES0031405256532001ME0F;19/09/2020;19;0,086;R
ES0031405256532001ME0F;19/09/2020;20;0,108;R
ES0031405256532001ME0F;19/09/2020;21;0,125;R
ES0031405256532001ME0F;19/09/2020;22;0,726;R
ES0031405256532001ME0F;19/09/2020;23;0,47;R
ES0031405256532001ME0F;19/09/2020;24;0,252;R
ES0031405256532001ME0F;20/09/2020;1;0,167;R
ES0031405256532001ME0F;20/09/2020;2;0,164;R
ES0031405256532001ME0F;20/09/2020;3;0,07;R
ES0031405256532001ME0F;20/09/2020;4;0,067;R
ES0031405256532001ME0F;20/09/2020;5;0,035;R
ES0031405256532001ME0F;20/09/2020;6;0,043;R
ES0031405256532001ME0F;20/09/2020;7;0,048;R
ES0031405256532001ME0F;20/09/2020;8;0,026;R
ES0031405256532001ME0F;20/09/2020;9;0,046;R
ES0031405256532001ME0F;20/09/2020;10;0,04;R
ES0031405256532001ME0F;20/09/2020;11;0,411;R
ES0031405256532001ME0F;20/09/2020;12;0,254;R
ES0031405256532001ME0F;20/09/2020;13;0,204;R
ES0031405256532001ME0F;20/09/2020;14;0,214;R
ES0031405256532001ME0F;20/09/2020;15;0,158;R
ES0031405256532001ME0F;20/09/2020;16;0,991;R
ES0031405256532001ME0F;20/09/2020;17;0,113;R
ES0031405256532001ME0F;20/09/2020;18;0,112;R
ES0031405256532001ME0F;20/09/2020;19;0,166;R
ES0031405256532001ME0F;20/09/2020;20;0,175;R
ES0031405256532001ME0F;20/09/2020;21;0,114;R
ES0031405256532001ME0F;20/09/2020;22;0,227;R
ES0031405256532001ME0F;20/09/2020;23;0,1;R
ES0031405256532001ME0F;20/09/2020;24;0,06;R
ES0031405256532001ME0F;21/09/2020;1;0,06;R
ES0031405256532001ME0F;21/09/2020;2;0,065;R
ES0031405256532001ME0F;21/09/2020;3;0,059;R
ES0031405256532001ME0F;21/09/2020;4;0,059;R
ES0031405256532001ME0F;21/09/2020;5;0,059;R
ES0031405256532001ME0F;21/09/2020;6;0,059;R
ES0031405256532001ME0F;21/09/2020;7;0,061;R
ES0031405256532001ME0F;21/09/2020;8;0,29;R
ES0031405256532001ME0F;21/09/2020;9;0,56;R
ES0031405256532001ME0F;21/09/2020;10;0,286;R
ES0031405256532001ME0F;21/09/2020;11;0,214;R
ES0031405256532001ME0F;21/09/2020;12;0,198;R
ES0031405256532001ME0F;21/09/2020;13;0,128;R
ES0031405256532001ME0F;21/09/2020;14;0,275;R
ES0031405256532001ME0F;21/09/2020;15;0,224;R
ES0031405256532001ME0F;21/09/2020;16;1,032;R
ES0031405256532001ME0F;21/09/2020;17;0,345;R
ES0031405256532001ME0F;21/09/2020;18;0,157;R
ES0031405256532001ME0F;21/09/2020;19;0,129;R
ES0031405256532001ME0F;21/09/2020;20;0,152;R
ES0031405256532001ME0F;21/09/2020;21;0,202;R
ES0031405256532001ME0F;21/09/2020;22;0,301;R
ES0031405256532001ME0F;21/09/2020;23;0,27;R
ES0031405256532001ME0F;21/09/2020;24;0,125;R
ES0031405256532001ME0F;22/09/2020;1;0,088;R
ES0031405256532001ME0F;22/09/2020;2;0,041;R
ES0031405256532001ME0F;22/09/2020;3;0,063;R
ES0031405256532001ME0F;22/09/2020;4;0,025;R
ES0031405256532001ME0F;22/09/2020;5;0,063;R
ES0031405256532001ME0F;22/09/2020;6;0,019;R
ES0031405256532001ME0F;22/09/2020;7;0,045;R
ES0031405256532001ME0F;22/09/2020;8;0,052;R
ES0031405256532001ME0F;22/09/2020;9;0,139;R
ES0031405256532001ME0F;22/09/2020;10;0,764;R
ES0031405256532001ME0F;22/09/2020;11;0,277;R
ES0031405256532001ME0F;22/09/2020;12;0,31;R
